No,공동주택,빌링전용,공급전용,공동주택명,공동주택검사명,난방방식,공동주택계약,정기검사,지사,완성검사일자,기밀시험시행년도,정기검사기준월,주소,연락처,세대수,동수,사용여부,전용면적등록구분,도로명주소,위도,경도
652,22891,아니오,아니오,칠곡미래타운,칠곡미래타운,중앙난방(가스),아니오,예,북부안전팀,1995-10-16,2004,10 월,북구 팔거천동로 52 (구암동 655-4),324-4815,720,9,사용,등록,대구광역시 북구 팔거천동로 52,35.92932349,128.5551549
653,22892,아니오,아니오,칠곡동서영남아파트,구암동서영남,개별난방,아니오,예,북부안전팀,1995-10-05,2004,10 월,북구 구암로 180 (구암동 695-1),323-5669,810,4,사용,등록,대구광역시 북구 구암로 180,35.93024062,128.5602035
654,22901,아니오,아니오,삼우그린타운,팔달삼우그린,개별난방,아니오,예,북부안전팀,1995-12-14,2004,12 월,북구 매천로8길 35 (매천동 595-2),053-311-0470,220,1,사용,등록,대구광역시 북구 매천로8길 35,35.9001157,128.5459248
655,22902,아니오,아니오,두산위브2001,두산위브2001,개별난방,아니오,예,북부안전팀,1998-09-26,2004, 9 월,북구 매천로2길 19 (팔달동 52),312-4158,"1,108",14,사용,등록,대구광역시 북구 매천로2길 19,35.89841961,128.5437265
656,22903,아니오,아니오,대백인터빌,대백인터빌,개별난방,아니오,예,북부안전팀,2002-06-05,2005, 6 월,북구 작원길 25 (팔달동 145),311-8040,495,5,사용,등록,대구광역시 북구 작원길 25,35.89970132,128.5493512
657,30101,아니오,아니오,동서4차아파트,평리동서4차,개별난방,아니오,예,서부안전팀,1986-05-12,2004, 5 월,서구 서대구로18길 9 (평리동 1353-2),,35,1,사용,등록,대구광역시 서구 서대구로18길 9,35.86575561,128.5570091
658,30102,아니오,아니오,동서1차아파트,평리동서1차,개별난방,아니오,예,서부안전팀,1986-07-15,2004, 7 월,서구 평리로57길 15 (평리동 1439-1),565-2401,110,4,사용,등록,대구광역시 서구 평리로57길 15,35.86430238,128.5543557
659,30103,아니오,아니오,동서2차아파트,평리동서2차,개별난방,아니오,예,서부안전팀,1987-06-08,2004, 6 월,서구 국채보상로42길 46 (평리동 1411-1),555-5335,95,3,사용,등록,대구광역시 서구 국채보상로42길 46,35.86641737,128.5545151
660,30104,아니오,아니오,평리광명아파트,평리광명,개별난방,아니오,예,서부안전팀,1988-01-26,2005, 1 월,서구 문화로37길 6 (평리동 619-1),552-2318,404,11,사용,등록,대구광역시 서구 문화로37길 6,35.87565299,128.5531325
661,30105,아니오,아니오,비둘기맨션,평리우림비둘기,개별난방,아니오,예,서부안전팀,1988-08-22,2005, 8 월,서구 국채보상로46길 61 (평리동 1356-2),551-7011,,,사용,등록,대구광역시 서구 국채보상로46길 61,35.86504332,128.5578596
662,30107,아니오,아니오,평리동서3차아파트,평리동서3차,개별난방,아니오,예,서부안전팀,1990-03-29,2006, 3 월,서구 국채보상로46길 57 (평리동 1354-1),556-0389,150,2,사용,등록,대구광역시 서구 국채보상로46길 57,35.86529248,128.5575287
663,30108,아니오,아니오,평리서신,평리서신,개별난방,아니오,예,서부안전팀,1990-03-21,2006, 3 월,서구 문화로 230 (평리동 1083-2),567-1356,178,6,사용,미등록,대구광역시 서구 문화로 230,35.875096,128.5564707
664,30109,아니오,아니오,평리금오아파트,평리금오,개별난방,아니오,예,서부안전팀,1990-10-29,2006,10 월,서구 국채보상로46길 43-19 (평리동 1349-3),,29,1,사용,등록,대구광역시 서구 국채보상로46길 43-19,35.86689259,128.5574296
665,30110,아니오,아니오,평리명성,평리명성,기타,아니오,예,서부안전팀,1991-07-31,2006, 7 월,서구 당산로 446 (평리동 576-8),,148,3,사용,미등록,대구광역시 서구 당산로 446,35.87467287,128.5471981
