시도,시군구,읍면,동리,단지코드,단지명,단지분류,법정동주소,도로명주소,사용승인일,동수,세대수,난방방식,난방연료,난방공급업체,고시지역명,고시지역여부,위도,경도
대구광역시,동구,,신암동,A10022632,동대구역엘크루 더 센트럴,아파트,대구광역시 동구 신암동 259-5 동대구역엘크루 더 센트럴,대구광역시 동구 신암남로 111,20240313,2,191,개별난방,도시가스,대성에너지,,False,35.881039237,128.627472961
대구광역시,동구,,신암동,A10023154,동대구역화성파크드림,아파트,대구광역시 동구 신암동 255-14 동대구역화성파크드림,대구광역시 동구 동대구로 590,20230629,13,1079,개별난방,도시가스,대성에너지,,False,35.881851957,128.626339384
대구광역시,동구,,신암동,A10023249,동대구해모로스퀘어웨스트,아파트,대구광역시 동구 신암동 680-27 동대구해모로스퀘어웨스트,대구광역시 동구 동북로 340,20230621,20,1122,개별난방,도시가스,대성에너지,,False,35.88923825,128.627376179
대구광역시,동구,,신암동,A10023347,동대구해모로스퀘어이스트,아파트,대구광역시 동구 신암동 81-1 동대구해모로스퀘어이스트,대구광역시 동구 동북로75길 13,20240131,15,935,개별난방,도시가스,대성에너지,,False,35.889716415,128.628530453
대구광역시,동구,,신암동,A70176002,신암강남아파트,아파트,대구광역시 동구 신암동 483-3 신암강남아파트,대구광역시 동구 신성로 60,19920710,5,629,개별난방,도시가스,대성에너지,,False,35.880118113,128.613295475
대구광역시,동구,,신암동,A70181404,신암건영캐스빌,아파트,대구광역시 동구 신암동 194-1 신암건영캐스빌,대구광역시 동구 신암남로 50,20051125,11,748,개별난방,도시가스,대성에너지,,False,35.877816078,128.618652789
대구광역시,동구,,신암동,A70181701,신암그린타운,아파트,대구광역시 동구 신암동 461-1 신암그린타운,대구광역시 동구 신성로 30,20030916,4,400,개별난방,도시가스,대성에너지,,False,35.878334598,128.610808496
대구광역시,동구,,신암동,A70182001,신암뜨란채,아파트,대구광역시 동구 신암동 766 신암뜨란채,대구광역시 동구 아양로7길 12,20050930,10,828,개별난방,도시가스,대성에너지,,False,35.883172783,128.61751624
대구광역시,동구,,신암동,A70181003,신암보성2차아파트,아파트,대구광역시 동구 신암동 67 신암보성2차아파트,대구광역시 동구 아양로49길 77,19881110,10,495,개별난방,도시가스,대성에너지,,False,35.890981761,128.633386705
대구광역시,동구,,신암동,A70182104,신암보성아파트,아파트,대구광역시 동구 신암동 622 신암보성아파트,대구광역시 동구 큰고개로 23,19851031,9,545,개별난방,도시가스,대성에너지,,False,35.886887094,128.624465789
대구광역시,동구,,신암동,A70181203,신암에스디아이프라임,아파트,대구광역시 동구 신암동 251-1 신암에스디아이프라임,대구광역시 동구 아양로24길 13,20060630,2,231,개별난방,도시가스,대성에너지,,False,35.88453933,128.628016685
대구광역시,동구,,신암동,A70181602,신암진로이스트타운,아파트,대구광역시 동구 신암동 373-1 신암진로이스트타운,대구광역시 동구 동북로 460,19981128,3,176,개별난방,도시가스,대성에너지,,False,35.882775929,128.634539104
대구광역시,동구,,신암동,A70101001,신암청아람,아파트,대구광역시 동구 신암동 480 신암청아람,대구광역시 동구 신암로20길 39,20090331,7,665,개별난방,도시가스,대성에너지,,False,35.879819996,128.61282421
대구광역시,동구,,신암동,A10025874,이안 동대구,아파트,대구광역시 동구 신암동 181-1 이안 동대구,대구광역시 동구 송라로28길 14,20181130,12,931,개별난방,도시가스,대성에너지,,False,35.878979333,128.615927075
대구광역시,동구,,신암동,A10024126,이안센트럴D,아파트,대구광역시 동구 신암동 235-1 이안센트럴D,대구광역시 동구 동대구로 577,20210927,9,999,개별난방,도시가스,대성에너지,,False,35.880853534,128.623558767
대구광역시,동구,,신암동,A70176802,청기와아파트,아파트,대구광역시 동구 신암동 1525 청기와아파트,대구광역시 동구 아양로49길 20,19881115,7,330,개별난방,도시가스,대성에너지,,False,35.887664193,128.639308718
대구광역시,동구,,신암동,A10021423,큰고개웰그린아파트,아파트,대구광역시 동구 신암동 250-1 큰고개웰그린아파트,대구광역시 동구 아양로 124,20080530,1,114,개별난방,도시가스,대성에너지,,False,35.884587722,128.627446078
대구광역시,동구,,신암동,A10023091,해링턴 플레이스 동대구,아파트,대구광역시 동구 신암동 674-20 해링턴 플레이스 동대구,대구광역시 동구 경대로 126,20240302,17,1265,개별난방,도시가스,대성에너지,,False,35.88722821,128.620338193
