번지순번,정제된 도로명주소,위도,경도
10310743,대구광역시 달서구 달구벌대로301길 187-13,35.8578158,128.5311094
10310760,대구광역시 달서구 용산서로 9,35.8567587,128.5295959
10310638,대구광역시 달서구 용산로 253,35.8595296,128.5296861
10310794,대구광역시 달서구 장산2길 47,35.8566278,128.5250256
10315498,대구광역시 달서구 달구벌대로 1542,35.849514,128.5356997
10115936,대구광역시 서구 달서로42길 14,35.88070039999999,128.5733563
10310722,대구광역시 달서구 용산서로 4-26,35.8582767,128.5293511
10310728,대구광역시 달서구 용산서로 4-27,35.8579831,128.5291573
10310751,대구광역시 달서구 용산로 222,35.8573905,128.5308066
10310874,대구광역시 달서구 용산서로 66,35.8555153,128.5255499
10310920,대구광역시 달서구 와룡로51길 104,35.8556987,128.5314106
10310922,대구광역시 달서구 달구벌대로301길 137,35.8559284,128.5314036
10144597,대구광역시 서구 평리로33길 13,35.8600698,128.5409507
10144526,대구광역시 서구 평리로35길 20,35.8616664,128.5437701
10145012,대구광역시 서구 와룡로 489,35.8769432,128.5388385
10145397,대구광역시 서구 국채보상로21길 26,35.8711288,128.5426603
10145445,대구광역시 서구 국채보상로7길 20,35.8703446,128.535316
10643606,대구광역시 서구 달서천로 42,35.8825769,128.5385532
10300807,대구광역시 달서구 달구벌대로 1910,35.8620344,128.5733544
10298468,대구광역시 달서구 야외음악당로39길 54,35.8549727,128.5553439
10298544,대구광역시 달서구 달구벌대로344길 15,35.8554434,128.5536141
10110687,대구광역시 서구 서대구로6길 31,35.8613367,128.5609551
10227304,대구광역시 북구 관음중앙로7길 26,35.9385474,128.5430697
10316695,대구광역시 달서구 월서로 14,35.8217511,128.5333203
10322708,대구광역시 달서구 월배로 80,35.8132331,128.5237828
10065059,대구광역시 동구 동촌로46길 12-3,35.8809979,128.6636849
10260727,대구광역시 수성구 신천동로 436,35.8628326,128.6116078
10038025,대구광역시 동구 동대구로 425-12,35.8682767,128.6257093
10253583,대구광역시 수성구 청호로94길 30,35.8571234,128.6453916
10277846,대구광역시 수성구 지산로 47,35.8256559,128.6334356
10038028,대구광역시 동구 동대구로 423,35.8681885,128.6259951
10240053,대구광역시 북구 옥산로9길 7,35.8859783,128.5815324
